name,bpi_name
Abilene Christian,Abilene Christian
Air Force,Air Force
Akron,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama St.,Alabama State
Albany,Albany
Alcorn St.,Alcorn State
American,American U
Appalachian St.,Appalachian St
Arizona,Arizona
Arizona St.,Arizona State
Arkansas,Arkansas
Arkansas Little Rock,AR-Little Rock
Arkansas Pine Bluff,AR-Pine Bluff
Arkansas St.,Arkansas State
Army,Army
Auburn,Auburn
Austin Peay,Austin Peay
BYU,BYU
Ball St.,Ball State
Baylor,Baylor
Belmont,Belmont
Bethune Cookman,Bethune-Cookman
Binghamton,Binghamton
Boise St.,Boise State
Boston College,Boston College
Boston University,Boston U
Bowling Green,Bowling Green
Bradley,Bradley
Brown,Brown
Bryant,Bryant
Bucknell,Bucknell
Buffalo,Buffalo
Butler,Butler
Cal Poly,Cal Poly
Cal St. Bakersfield,CS Fullerton
Cal St. Fullerton,CSU Bakersfield
Cal St. Northridge,CS Northridge
California,California
Campbell,Campbell
Canisius,Canisius
Central Arkansas,Cent Arkansas
Central Connecticut,Cent Conn St
Central Michigan,Cent Michigan
Charleston Southern,Charl Southern
Charlotte,Charlotte
Chattanooga,Chattanooga
Chicago St.,Chicago State
Cincinnati,Cincinnati
Clemson,Clemson
Cleveland St.,Cleveland State
Coastal Carolina,Coast Carolina
Colgate,Colgate
College of Charleston,Charleston
Colorado,Colorado
Colorado St.,Colorado State
Columbia,Columbia
Connecticut,Connecticut
Coppin St.,Coppin State
Cornell,Cornell
Creighton,Creighton
Dartmouth,Dartmouth
Davidson,Davidson
Dayton,Dayton
DePaul,DePaul
Delaware,Delaware
Delaware St.,Delaware State
Denver,Denver
Detroit,Detroit
Drake,Drake
Drexel,Drexel
Duke,Duke
Duquesne,Duquesne
East Carolina,East Carolina
East Tennessee St.,East Tenn St
Eastern Illinois,E Illinois
Eastern Kentucky,E Kentucky
Eastern Michigan,E Michigan
Eastern Washington,E Washington
Elon,Elon
Evansville,Evansville
FIU,FIU
Fairfield,Fairfield
Fairleigh Dickinson,Fair Dickinson
Florida,Florida
Florida A&M,Florida A&M
Florida Atlantic,Florida Atl
Florida Gulf Coast,FGCU
Florida St.,Florida State
Fordham,Fordham
Fresno St.,Fresno State
Furman,Furman
Gardner Webb,Gardner-Webb
George Mason,George Mason
George Washington,G. Washington
Georgetown,Georgetown
Georgia,Georgia
Georgia Southern,Ga. Southern
Georgia St.,Georgia State
Georgia Tech,Georgia Tech
Gonzaga,Gonzaga
Grambling St.,Grambling St
Grand Canyon,Grand Canyon
Green Bay,Green Bay
Hampton,Hampton
Hartford,Hartford
Harvard,Harvard
Hawaii,Hawaii
High Point,High Point
Hofstra,Hofstra
Holy Cross,Holy Cross
Houston,Houston
Houston Baptist,Houston Baptist
Howard,Howard
IPFW,IPFW
IUPUI,IUPUI
Idaho,Idaho
Idaho St.,Idaho State
Illinois,Illinois
Illinois St.,Illinois State
,Incarnate Word
Indiana,Indiana
Indiana St.,Indiana State
Iona,Iona
Iowa,Iowa
Iowa St.,Iowa State
Jackson St.,Jackson State
Jacksonville,Jacksonville
Jacksonville St.,Jacksonville St
James Madison,James Madison
Kansas,Kansas
Kansas St.,Kansas State
Kennesaw St.,Kennesaw State
Kent St.,Kent State
Kentucky,Kentucky
LIU Brooklyn,LIU Brooklyn
LSU,LSU
La Salle,La Salle
Lafayette,Lafayette
Lamar,Lamar
Lehigh,Lehigh
Liberty,Liberty
Lipscomb,Lipscomb
Long Beach St.,Long Beach St
Longwood,Longwood
Louisiana Lafayette,LA-Lafayette
Louisiana Monroe,UL Monroe
Louisiana Tech,Louisiana Tech
Louisville,Louisville
Loyola Chicago,Loyola (IL)
Loyola MD,Loyola (MD)
Loyola Marymount,Loyola Mary
Maine,Maine
Manhattan,Manhattan
Marist,Marist
Marquette,Marquette
Marshall,Marshall
Maryland,Maryland
Maryland Eastern Shore,MD-E Shore
Massachusetts,Massachusetts
McNeese St.,McNeese State
Memphis,Memphis
Mercer,Mercer
Miami FL,Miami (FL)
Miami OH,Miami (OH)
Michigan,Michigan
Michigan St.,Michigan State
Middle Tennessee,Middle Tennessee
Milwaukee,Milwaukee
Minnesota,Minnesota
Mississippi,Ole Miss
Mississippi St.,Mississippi St
Mississippi Valley St.,Miss Valley St
Missouri,Missouri
Missouri St.,Missouri State
Monmouth,Monmouth
Montana,Montana
Montana St.,Montana State
